number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
25,11053.180555555555,2025-06-08 18:43:25.490066,2025-06-08 18:44:33.365059,0 days 00:01:07.874993,721,True,0.8562383663343669,803,757,True,"[0.07003261504075958, 0.0011727764630571913, 0.4280966733378712, 0.5006979351583118]",COMPLETE
26,11103.347222222223,2025-06-08 18:44:33.365581,2025-06-08 18:46:19.987278,0 days 00:01:46.621697,565,False,0.6371475299701568,699,586,False,"[0.1132031705011761, 0.4808019195188638, 0.02195480115242272, 0.3840401088275375]",COMPLETE
27,11095.583333333334,2025-06-08 18:46:19.987751,2025-06-08 18:46:54.560081,0 days 00:00:34.572330,880,True,0.9988871214716857,908,883,True,"[0.5387291194750146, 0.07390667089614057, 0.21684141600343368, 0.17052279362541112]",COMPLETE
28,11096.125,2025-06-08 18:46:54.560652,2025-06-08 18:47:12.743488,0 days 00:00:18.182836,778,True,0.45784526044655655,994,979,True,"[0.353306164656575, 0.1040519872397367, 0.5347681796427336, 0.007873668460954596]",COMPLETE
29,11133.833333333334,2025-06-08 18:47:12.744063,2025-06-08 18:48:23.563525,0 days 00:01:10.819462,522,False,0.5766745547519125,728,597,False,"[0.07644488037209345, 0.04246319361867997, 0.8032757540443022, 0.07781617196492441]",COMPLETE
30,11038.513888888889,2025-06-08 18:48:23.563827,2025-06-08 18:50:23.975778,0 days 00:02:00.411951,924,True,0.7979019523075619,800,715,True,"[0.4503013922242291, 0.11021301737988695, 0.228549486578095, 0.21093610381778907]",COMPLETE
31,11051.430555555555,2025-06-08 18:50:23.976324,2025-06-08 18:54:07.984458,0 days 00:03:44.008134,924,True,0.7846354562055634,930,763,True,"[0.3497709979246678, 0.029163078105649793, 0.5350852799594962, 0.08598064401018629]",COMPLETE
32,11059.25,2025-06-08 18:54:07.984732,2025-06-08 18:56:29.450391,0 days 00:02:21.465659,976,True,0.8233489193751945,812,709,True,"[0.18186050607310963, 0.5360377552452223, 0.17577392636414615, 0.10632781231752199]",COMPLETE
33,11016.847222222223,2025-06-08 18:56:29.450741,2025-06-08 18:58:50.730920,0 days 00:02:21.280179,998,True,0.5347558326814277,845,754,True,"[0.01471869621513478, 0.39696926280478395, 0.3533287705565238, 0.23498327042355735]",COMPLETE
34,11058.944444444445,2025-06-08 18:58:50.731472,2025-06-08 18:59:54.696917,0 days 00:01:03.965445,859,True,0.5035805150627357,865,815,False,"[0.0013552173556687821, 0.4771084588257346, 0.20475857328001273, 0.3167777505385838]",COMPLETE
35,11032.222222222223,2025-06-08 18:59:54.697378,2025-06-08 19:01:03.695467,0 days 00:01:08.998089,952,False,0.5557621171464766,680,625,True,"[0.3868732612516169, 0.2293154916542282, 0.2444553380279691, 0.13935590906618583]",COMPLETE
36,11090.027777777777,2025-06-08 19:01:03.695726,2025-06-08 19:02:35.633890,0 days 00:01:31.938164,1000,False,0.5549491617216072,651,569,False,"[0.07188441305540286, 0.1445682629484597, 0.646570512944883, 0.1369768110512544]",COMPLETE
37,11025.319444444445,2025-06-08 19:02:35.634152,2025-06-08 19:03:32.665278,0 days 00:00:57.031126,405,False,0.39159136616044243,761,671,True,"[0.47824279780739115, 0.18991940580889213, 0.06586324216224904, 0.2659745542214677]",COMPLETE
38,11088.763888888889,2025-06-08 19:03:32.665637,2025-06-08 19:03:59.334109,0 days 00:00:26.668472,429,False,0.36764820528933373,488,449,True,"[0.22513742599446038, 0.29543569337114034, 0.17880241949612702, 0.30062446113827235]",COMPLETE
39,11045.652777777777,2025-06-08 19:03:59.334647,2025-06-08 19:04:27.719153,0 days 00:00:28.384506,208,False,0.2880070807948905,774,686,True,"[0.10946303577607258, 0.4465311446036499, 0.2175027296431293, 0.22650308997714813]",COMPLETE
40,11089.666666666666,2025-06-08 19:04:27.719753,2025-06-08 19:04:59.697559,0 days 00:00:31.977806,346,False,0.46930313737145773,843,746,False,"[0.29029570925453224, 0.3006740406756775, 0.37763705588083757, 0.03139319418895269]",COMPLETE
41,11102.694444444445,2025-06-08 19:04:59.698140,2025-06-08 19:05:32.039567,0 days 00:00:32.341427,460,False,0.5971955360484166,692,641,True,"[0.7663708069559614, 0.05575620876863365, 0.07565532605991603, 0.10221765821548895]",COMPLETE
42,11099.541666666666,2025-06-08 19:05:32.040028,2025-06-08 19:05:48.944240,0 days 00:00:16.904212,226,False,0.5077659830892454,951,904,True,"[0.3246757171249298, 0.3154901162043157, 0.3220494205571397, 0.037784746113614744]",COMPLETE
43,11005.263888888889,2025-06-08 19:05:48.944731,2025-06-08 19:06:53.363693,0 days 00:01:04.418962,395,False,0.3893277177221829,744,660,True,"[0.11059623110603521, 0.057456092101799985, 0.035713525001528065, 0.7962341517906368]",COMPLETE
44,11083.444444444445,2025-06-08 19:06:53.364254,2025-06-08 19:07:41.182747,0 days 00:00:47.818493,405,False,0.38395680863769355,760,684,True,"[0.11812323235298472, 0.15463102353528363, 0.3842653764130307, 0.34298036769870077]",COMPLETE
45,11026.833333333334,2025-06-08 19:07:41.183295,2025-06-08 19:08:12.873998,0 days 00:00:31.690703,273,False,0.3021084373782626,851,768,True,"[0.22711436187093847, 0.2592980923649342, 0.4096243778997917, 0.10396316786433574]",COMPLETE
46,11090.972222222223,2025-06-08 19:08:12.874483,2025-06-08 19:08:35.170863,0 days 00:00:22.296380,284,False,0.3058725393999798,583,531,True,"[0.420240105288073, 0.04508837739536972, 0.35442818673573057, 0.1802433305808268]",COMPLETE
47,11177.916666666666,2025-06-08 19:08:35.171405,2025-06-08 19:09:30.833011,0 days 00:00:55.661606,110,False,0.41703268315533043,638,254,True,"[0.5374747221928675, 0.19002507292843474, 0.23975015549511558, 0.03275004938358224]",COMPLETE
48,11044.430555555555,2025-06-08 19:09:30.833288,2025-06-08 19:10:10.051927,0 days 00:00:39.218639,288,False,0.27785956395497613,825,733,True,"[0.4145950184954704, 0.16018633556733994, 0.2258596581148909, 0.19935898782229874]",COMPLETE
49,11019.402777777777,2025-06-08 19:10:10.052292,2025-06-08 19:11:07.133692,0 days 00:00:57.081400,370,False,0.329617246698919,757,665,True,"[0.18925485498888842, 0.21443458533703932, 0.1403758000555315, 0.4559347596185408]",COMPLETE
50,11118.555555555555,2025-06-08 19:11:07.134348,2025-06-08 19:13:14.783854,0 days 00:02:07.649506,380,False,0.3606270764270026,728,495,True,"[0.32843333798824903, 0.11366450383343195, 0.38188588589005085, 0.17601627228826816]",COMPLETE
51,11057.583333333334,2025-06-08 19:13:14.784397,2025-06-08 19:13:50.876374,0 days 00:00:36.091977,284,False,0.3179224524401274,874,787,True,"[0.31402180243292244, 0.31308828253841064, 0.20518024798143578, 0.1677096670472311]",COMPLETE
52,11031.25,2025-06-08 19:13:50.876885,2025-06-08 19:14:44.045780,0 days 00:00:53.168895,508,False,0.2511565774560898,763,681,True,"[0.23697815519260423, 0.44341310638748455, 0.3150803974118721, 0.004528341008039095]",COMPLETE
53,11042.916666666666,2025-06-08 19:14:44.046201,2025-06-08 19:15:19.837237,0 days 00:00:35.791036,133,False,0.1750398875537609,830,655,True,"[0.0004927165070920096, 0.45828101136498844, 0.16127564734081787, 0.3799506247871016]",COMPLETE
54,11059.527777777777,2025-06-08 19:15:19.837688,2025-06-08 19:15:55.400126,0 days 00:00:35.562438,325,False,0.4269243000590263,935,859,True,"[0.05396021613219965, 0.7440700801326436, 0.08936609165537134, 0.11260361207978539]",COMPLETE
55,11044.486111111111,2025-06-08 19:15:55.400578,2025-06-08 19:16:56.199502,0 days 00:01:00.798924,460,False,0.3262458301249677,864,764,True,"[0.17220768401903397, 0.7651858122859718, 0.0323021039555123, 0.030304399739481746]",COMPLETE
56,11077.208333333334,2025-06-08 19:16:56.200052,2025-06-08 19:17:17.335036,0 days 00:00:21.134984,236,False,0.4572894291161881,614,561,True,"[0.5288877066741169, 0.010735107055006276, 0.22190075382979974, 0.23847643244107702]",COMPLETE
57,11037.458333333334,2025-06-08 19:17:17.335564,2025-06-08 19:18:29.722253,0 days 00:01:12.386689,584,False,0.2355184535018637,756,664,True,"[0.6129665589070005, 0.14342454739614893, 0.0849285982734962, 0.1586802954233545]",COMPLETE
58,11086.819444444445,2025-06-08 19:18:29.722795,2025-06-08 19:18:54.469458,0 days 00:00:24.746663,398,False,0.16907310316061083,544,500,True,"[0.23437479792722374, 0.2532835836116577, 0.33584003929057943, 0.17650157917053902]",COMPLETE
59,11079.361111111111,2025-06-08 19:18:54.469803,2025-06-08 19:19:17.567353,0 days 00:00:23.097550,433,False,0.3824784877180646,411,372,True,"[0.2473255298533926, 0.49395871004958636, 0.11233060003358218, 0.14638516006343896]",COMPLETE
60,11129.25,2025-06-08 19:19:17.567876,2025-06-08 19:20:03.702984,0 days 00:00:46.135108,353,False,0.1367941858964875,666,615,False,"[0.272440352690174, 0.007440661191470624, 0.06051750081920733, 0.6596014852991479]",COMPLETE
61,11079.013888888889,2025-06-08 19:20:03.703435,2025-06-08 19:20:31.160463,0 days 00:00:27.457028,487,True,0.645243297399685,961,926,True,"[0.2842763125397185, 0.26960563594559467, 0.2867307450551143, 0.15938730645957244]",COMPLETE
62,11039.902777777777,2025-06-08 19:20:31.160877,2025-06-08 19:21:22.658489,0 days 00:00:51.497612,666,True,0.26528176595418773,998,946,True,"[0.34082185977299806, 0.22945514237933023, 0.2634271916614918, 0.1662958061861797]",COMPLETE
63,11077.416666666666,2025-06-08 19:21:22.659047,2025-06-08 19:21:49.879590,0 days 00:00:27.220543,250,True,0.3449407310114999,913,836,True,"[0.04910921078893658, 0.2929254284435823, 0.6345012690375903, 0.023464091729890987]",COMPLETE
64,11049.347222222223,2025-06-08 19:21:49.880139,2025-06-08 19:23:01.183871,0 days 00:01:11.303732,817,True,0.5307044389766244,853,800,True,"[0.42073291843295285, 0.23337333063675939, 0.11861073851108714, 0.2272830124192008]",COMPLETE
65,11069.138888888889,2025-06-08 19:23:01.184207,2025-06-08 19:23:37.244948,0 days 00:00:36.060741,309,True,0.39644544666453446,946,867,True,"[0.029112107780899333, 0.6258665185969662, 0.25677055308417757, 0.08825082053795695]",COMPLETE
66,11069.486111111111,2025-06-08 19:23:37.245230,2025-06-08 19:24:31.200180,0 days 00:00:53.954950,537,True,0.6684979754083537,892,823,True,"[0.7485255786275625, 0.124607809884062, 0.012663692012428967, 0.1142029194759465]",COMPLETE
67,11105.680555555555,2025-06-08 19:24:31.200655,2025-06-08 19:24:47.125476,0 days 00:00:15.924821,379,True,0.48030944503641115,313,295,True,"[0.37261867199997345, 0.08321318531130033, 0.12460840660289302, 0.4195597360858333]",COMPLETE
68,11040.444444444445,2025-06-08 19:24:47.125736,2025-06-08 19:26:31.340022,0 days 00:01:44.214286,956,True,0.42291999095890687,791,722,True,"[0.1909930203608921, 0.4866008676718526, 0.0995754294590653, 0.2228306825081899]",COMPLETE
69,11042.5,2025-06-08 19:26:31.340573,2025-06-08 19:30:37.096135,0 days 00:04:05.755562,762,False,0.7121141020765502,965,777,True,"[0.2395706509083237, 0.08491322606661195, 0.43898436409923075, 0.23653175892583364]",COMPLETE
70,11127.680555555555,2025-06-08 19:30:37.096387,2025-06-08 19:30:45.954419,0 days 00:00:08.858032,153,True,0.6013587545974486,716,691,False,"[0.4823579606607722, 0.26932836506284635, 0.09468793476654416, 0.1536257395098373]",COMPLETE
71,11057.0,2025-06-08 19:30:45.954805,2025-06-08 19:31:13.724165,0 days 00:00:27.769360,486,False,0.25167360486806234,755,720,True,"[0.023498265007176965, 0.2246906677604547, 0.22411350826841964, 0.5276975589639487]",COMPLETE
72,11034.458333333334,2025-06-08 19:31:13.724529,2025-06-08 19:32:01.893702,0 days 00:00:48.169173,579,False,0.33580656938072406,808,743,True,"[0.7963392081345465, 0.005765116387592093, 0.15932283683421353, 0.0385728386436477]",COMPLETE
73,11013.777777777777,2025-06-08 19:32:01.894306,2025-06-08 19:32:39.244687,0 days 00:00:37.350381,430,False,0.07475325229747268,838,774,True,"[0.4569096376481109, 0.056986852240351986, 0.10134587123762816, 0.38475763887390885]",COMPLETE
74,11022.902777777777,2025-06-08 19:32:39.245243,2025-06-08 19:33:07.369078,0 days 00:00:28.123835,406,False,0.03961348994645775,889,838,True,"[0.44193871081257696, 0.24445706471119366, 0.20551366246425165, 0.10809056201197767]",COMPLETE
