instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,gvns,hh_rand,hh_greedy,ga_w_nn
d657,657,216153,TSP,True,0.25,164,14029.0,12299.0,12562.0,
d657,657,216153,TSP,True,0.5,328,32740.0,24462.0,24424.0,
d657,657,216153,TSP,True,0.75,492,52098.0,41410.0,41976.0,
dantzig42,42,903,TSP,True,0.25,10,145.0,145.0,145.0,145.0
pr107,107,5778,TSP,False,0.25,26,,,,6981.0
dantzig42,42,903,TSP,True,0.5,21,260.0,260.0,260.0,260.0
pr124,124,7750,TSP,False,0.25,31,,,,9596.0
dantzig42,42,903,TSP,True,0.75,31,427.0,427.0,427.0,427.0
pr136,136,9316,TSP,False,0.25,34,,,,20928.0
eil101,101,5151,TSP,True,0.25,25,107.0,107.0,107.0,107.0
eil101,101,5151,TSP,True,0.5,50,234.0,228.0,227.0,227.0
pr144,144,10440,TSP,False,0.25,36,,,,10743.0
eil101,101,5151,TSP,True,0.75,75,403.0,396.0,389.0,406.0
pr152,152,11628,TSP,False,0.25,38,,,,15403.0
pr226,226,25651,TSP,False,0.25,56,,,,18594.0
eil51,51,1326,TSP,True,0.25,12,82.0,82.0,82.0,82.0
eil51,51,1326,TSP,True,0.5,25,175.0,175.0,175.0,175.0
eil51,51,1326,TSP,True,0.75,38,290.0,290.0,289.0,287.0
eil76,76,2926,TSP,True,0.25,19,102.0,102.0,102.0,102.0
eil76,76,2926,TSP,True,0.5,38,218.0,219.0,216.0,219.0
pr76,76,2926,TSP,False,0.25,19,,,,17728.0
eil76,76,2926,TSP,True,0.75,57,348.0,336.0,339.0,336.0
rat195,195,19110,TSP,False,0.25,48,,,,538.0
rat99,99,4950,TSP,False,0.25,24,,,,260.0
rd100,100,5050,TSP,False,0.25,25,,,,1261.0
fri26,26,351,TSP,True,0.25,6,243.0,243.0,243.0,243.0
fri26,26,351,TSP,True,0.5,13,414.0,414.0,414.0,414.0
fri26,26,351,TSP,True,0.75,19,601.0,601.0,601.0,601.0
gil262,262,34453,TSP,True,0.25,65,574.0,540.0,553.0,540.0
gil262,262,34453,TSP,True,0.5,131,1141.0,1037.0,1034.0,1042.0
st70,70,2485,TSP,False,0.25,17,,,,110.0
swiss42,42,1764,TSP,False,0.25,10,,,,66.0
gil262,262,34453,TSP,True,0.75,196,1817.0,1672.0,1703.0,1695.0
u159,159,12720,TSP,False,0.25,39,,,,8494.0
gr120,120,7260,TSP,True,0.25,30,1308.0,1308.0,1308.0,
gr120,120,7260,TSP,True,0.5,60,2736.0,2690.0,2694.0,
gr120,120,7260,TSP,True,0.75,90,4585.0,4420.0,4380.0,
gr137,137,9453,TSP,True,0.25,34,17802.0,17399.0,17445.0,17399.0
gr137,137,9453,TSP,True,0.5,68,29920.0,29363.0,29541.0,31784.0
gr137,137,9453,TSP,True,0.75,102,44356.0,44182.0,43912.0,48623.0
ulysses16,16,136,TSP,False,0.25,4,,,,618.0
ulysses22,22,253,TSP,False,0.25,5,,,,447.0
gr17,17,153,TSP,True,0.25,4,234.0,234.0,234.0,234.0
a280,280,39340,TSP,False,0.5,140,,,,1234.0
gr17,17,153,TSP,True,0.5,8,517.0,517.0,517.0,517.0
gr17,17,153,TSP,True,0.75,12,951.0,951.0,951.0,951.0
gr202,202,20503,TSP,True,0.25,50,8175.0,8142.0,8142.0,8142.0
gr202,202,20503,TSP,True,0.5,101,14333.0,14182.0,14199.0,14181.0
gr202,202,20503,TSP,True,0.75,151,22651.0,21563.0,21954.0,21954.0
bayg29,29,435,TSP,False,0.5,14,,,,581.0
bays29,29,841,TSP,False,0.5,14,,,,672.0
gr21,21,231,TSP,True,0.25,5,324.0,324.0,324.0,324.0
berlin52,52,1378,TSP,False,0.5,26,,,,1766.0
gr21,21,231,TSP,True,0.5,10,918.0,918.0,918.0,918.0
bier127,127,8128,TSP,False,0.5,63,,,,24862.0
gr21,21,231,TSP,True,0.75,15,1501.0,1501.0,1501.0,1501.0
gr229,229,26335,TSP,True,0.25,57,20252.0,18555.0,18970.0,18555.0
gr229,229,26335,TSP,True,0.5,114,45078.0,41005.0,41242.0,41005.0
burma14,14,105,TSP,False,0.5,7,,,,842.0
gr229,229,26335,TSP,True,0.75,171,72938.0,67848.0,68553.0,67848.0
ch130,130,8515,TSP,False,0.5,65,,,,2492.0
gr24,24,300,TSP,True,0.25,6,264.0,264.0,264.0,264.0
ch150,150,11325,TSP,False,0.5,75,,,,2772.0
gr24,24,300,TSP,True,0.5,12,504.0,504.0,504.0,504.0
d198,198,19701,TSP,False,0.5,99,,,,5220.0
gr24,24,300,TSP,True,0.75,18,844.0,844.0,844.0,844.0
dantzig42,42,903,TSP,False,0.5,21,,,,227.0
gr431,431,93096,TSP,True,0.25,107,15556.0,14857.0,15303.0,
gr431,431,93096,TSP,True,0.5,215,41906.0,37071.0,38207.0,
gr431,431,93096,TSP,True,0.75,323,93079.0,81904.0,81144.0,
eil101,101,5151,TSP,False,0.5,50,,,,249.0
gr48,48,1176,TSP,True,0.25,12,874.0,874.0,874.0,874.0
eil51,51,1326,TSP,False,0.5,25,,,,179.0
gr48,48,1176,TSP,True,0.5,24,1819.0,1819.0,1819.0,1819.0
gr48,48,1176,TSP,True,0.75,36,3113.0,3113.0,3104.0,3104.0
eil76,76,2926,TSP,False,0.5,38,,,,217.0
fri26,26,351,TSP,False,0.5,13,,,,308.0
gil262,262,34453,TSP,False,0.5,131,,,,1049.0
gr666,666,222111,TSP,True,0.25,166,29083.0,27358.0,27820.0,
gr666,666,222111,TSP,True,0.5,333,140432.0,93994.0,89448.0,
gr666,666,222111,TSP,True,0.75,499,273618.0,194897.0,204846.0,
gr96,96,4656,TSP,True,0.25,24,10465.0,10460.0,10460.0,9543.0
gr137,137,9453,TSP,False,0.5,68,,,,29108.0
gr96,96,4656,TSP,True,0.5,48,20765.0,20688.0,20688.0,19876.0
gr17,17,153,TSP,False,0.5,8,,,,359.0
gr96,96,4656,TSP,True,0.75,72,32425.0,31437.0,31526.0,31095.0
gr202,202,20503,TSP,False,0.5,101,,,,13996.0
hk48,48,1176,TSP,True,0.25,12,2827.0,2827.0,2827.0,2827.0
gr21,21,231,TSP,False,0.5,10,,,,683.0
hk48,48,1176,TSP,True,0.5,24,4701.0,4701.0,4701.0,4701.0
gr229,229,26335,TSP,False,0.5,114,,,,41661.0
hk48,48,1176,TSP,True,0.75,36,7311.0,7326.0,7278.0,7278.0
gr24,24,300,TSP,False,0.5,12,,,,396.0
kroA100,100,5050,TSP,True,0.25,25,4998.0,4970.0,4998.0,5203.0
kroA100,100,5050,TSP,True,0.5,50,9335.0,9184.0,9184.0,10050.0
gr48,48,1176,TSP,False,0.5,24,,,,1691.0
kroA100,100,5050,TSP,True,0.75,75,15418.0,14492.0,14500.0,14492.0
kroA150,150,11325,TSP,True,0.25,37,5725.0,5690.0,5690.0,5690.0
gr96,96,4656,TSP,False,0.5,48,,,,17634.0
kroA150,150,11325,TSP,True,0.5,75,12166.0,11625.0,11812.0,11625.0
hk48,48,1176,TSP,False,0.5,24,,,,4238.0
kroA150,150,11325,TSP,True,0.75,112,19192.0,18210.0,18917.0,18295.0
kroA100,100,5050,TSP,False,0.5,50,,,,9073.0
kroA200,200,20100,TSP,True,0.25,50,6438.0,6202.0,6272.0,6202.0
kroA200,200,20100,TSP,True,0.5,100,14213.0,12753.0,12850.0,12753.0
kroA150,150,11325,TSP,False,0.5,75,,,,11412.0
kroA200,200,20100,TSP,True,0.75,150,22354.0,20794.0,20723.0,20135.0
kroA200,200,20100,TSP,False,0.5,100,,,,13315.0
kroB100,100,5050,TSP,False,0.5,50,,,,9071.0
kroB100,100,5050,TSP,True,0.25,25,4353.0,4305.0,4305.0,4303.0
kroB150,150,11325,TSP,False,0.5,75,,,,11501.0
kroB100,100,5050,TSP,True,0.5,50,9244.0,9096.0,9096.0,9096.0
kroB200,200,20100,TSP,False,0.5,100,,,,12787.0
kroB100,100,5050,TSP,True,0.75,75,15846.0,14744.0,14799.0,14744.0
kroC100,100,5050,TSP,False,0.5,50,,,,9428.0
kroB150,150,11325,TSP,True,0.25,37,6410.0,6071.0,5812.0,5812.0
kroD100,100,5050,TSP,False,0.5,50,,,,8808.0
kroB150,150,11325,TSP,True,0.5,75,12276.0,11642.0,11535.0,11535.0
kroE100,100,5050,TSP,False,0.5,50,,,,9370.0
kroB150,150,11325,TSP,True,0.75,112,19312.0,17695.0,17501.0,17349.0
lin105,105,5565,TSP,False,0.5,52,,,,5532.0
kroB200,200,20100,TSP,True,0.25,50,6388.0,6370.0,6414.0,6100.0
lin318,318,50721,TSP,False,0.5,159,,,,17655.0
kroB200,200,20100,TSP,True,0.5,100,14004.0,13080.0,13222.0,13113.0
kroB200,200,20100,TSP,True,0.75,150,22895.0,20673.0,20508.0,21266.0
kroC100,100,5050,TSP,True,0.25,25,4964.0,4964.0,4964.0,4967.0
kroC100,100,5050,TSP,True,0.5,50,9668.0,9457.0,9457.0,9457.0
kroC100,100,5050,TSP,True,0.75,75,15144.0,14201.0,14067.0,14067.0
pr107,107,5778,TSP,False,0.5,53,,,,14839.0
pr124,124,7750,TSP,False,0.5,62,,,,21420.0
kroD100,100,5050,TSP,True,0.25,25,4762.0,4787.0,4762.0,4762.0
kroD100,100,5050,TSP,True,0.5,50,8962.0,8719.0,8719.0,8719.0
pr136,136,9316,TSP,False,0.5,68,,,,47911.0
pr144,144,10440,TSP,False,0.5,72,,,,26296.0
kroD100,100,5050,TSP,True,0.75,75,15053.0,14171.0,14288.0,14171.0
pr152,152,11628,TSP,False,0.5,76,,,,30712.0
kroE100,100,5050,TSP,True,0.25,25,3905.0,3905.0,3905.0,3905.0
kroE100,100,5050,TSP,True,0.5,50,9283.0,9130.0,9102.0,9176.0
pr226,226,25651,TSP,False,0.5,113,,,,33349.0
kroE100,100,5050,TSP,True,0.75,75,15250.0,14640.0,14843.0,14640.0
lin105,105,5565,TSP,True,0.25,26,2606.0,2606.0,2606.0,2606.0
lin105,105,5565,TSP,True,0.5,52,5857.0,5848.0,5848.0,5954.0
pr76,76,2926,TSP,False,0.5,38,,,,37793.0
lin105,105,5565,TSP,True,0.75,78,9178.0,9034.0,9034.0,8999.0
rat195,195,19110,TSP,False,0.5,97,,,,1106.0
lin318,318,50721,TSP,True,0.25,79,9108.0,8912.0,8901.0,8901.0
lin318,318,50721,TSP,True,0.5,159,20453.0,18600.0,19114.0,19114.0
lin318,318,50721,TSP,True,0.75,238,32100.0,29829.0,30625.0,29829.0
rat99,99,4950,TSP,False,0.5,49,,,,554.0
rd100,100,5050,TSP,False,0.5,50,,,,3023.0
p654,654,214185,TSP,True,0.25,163,8152.0,7348.0,7341.0,
p654,654,214185,TSP,True,0.5,327,27188.0,19380.0,19332.0,
p654,654,214185,TSP,True,0.75,490,34821.0,24514.0,25671.0,
st70,70,2485,TSP,False,0.5,35,,,,250.0
pa561,561,157641,TSP,True,0.25,140,575.0,523.0,526.0,
pa561,561,157641,TSP,True,0.5,280,1429.0,1211.0,1224.0,
pa561,561,157641,TSP,True,0.75,420,2361.0,2031.0,2067.0,
swiss42,42,1764,TSP,False,0.5,21,,,,132.0
pcb442,442,97903,TSP,True,0.25,110,11628.0,11099.0,11247.0,
pcb442,442,97903,TSP,True,0.5,221,25899.0,24536.0,24451.0,
pcb442,442,97903,TSP,True,0.75,331,41889.0,37941.0,38419.0,
u159,159,12720,TSP,False,0.5,79,,,,16750.0
pr107,107,5778,TSP,True,0.25,26,8443.0,8443.0,8443.0,8443.0
pr107,107,5778,TSP,True,0.5,53,29652.0,18028.0,18028.0,18028.0
pr107,107,5778,TSP,True,0.75,80,39574.0,36627.0,36468.0,37605.0
ulysses16,16,136,TSP,False,0.5,8,,,,1329.0
pr124,124,7750,TSP,True,0.25,31,14952.0,14640.0,14952.0,14325.0
ulysses22,22,253,TSP,False,0.5,11,,,,1473.0
pr124,124,7750,TSP,True,0.5,62,22998.0,22998.0,22998.0,22998.0
a280,280,39340,TSP,False,0.75,210,,,,1894.0
pr124,124,7750,TSP,True,0.75,93,40230.0,39174.0,39237.0,39174.0
pr136,136,9316,TSP,True,0.25,34,21174.0,21116.0,21174.0,21116.0
pr136,136,9316,TSP,True,0.5,68,48496.0,46890.0,47016.0,46909.0
pr136,136,9316,TSP,True,0.75,102,73061.0,69690.0,69905.0,70790.0
bayg29,29,435,TSP,False,0.75,21,,,,929.0
pr144,144,10440,TSP,True,0.25,36,14538.0,14538.0,14327.0,14327.0
bays29,29,841,TSP,False,0.75,21,,,,1090.0
pr144,144,10440,TSP,True,0.5,72,29464.0,28402.0,29297.0,28059.0
berlin52,52,1378,TSP,False,0.75,39,,,,3853.0
pr144,144,10440,TSP,True,0.75,108,45204.0,41452.0,42164.0,41703.0
bier127,127,8128,TSP,False,0.75,95,,,,51542.0
pr152,152,11628,TSP,True,0.25,38,23373.0,23373.0,23195.0,20029.0
pr152,152,11628,TSP,True,0.5,76,37881.0,37336.0,36637.0,38863.0
pr152,152,11628,TSP,True,0.75,114,60924.0,57431.0,58114.0,52393.0
burma14,14,105,TSP,False,0.75,10,,,,1349.0
pr226,226,25651,TSP,True,0.25,56,20033.0,20033.0,20125.0,20033.0
ch130,130,8515,TSP,False,0.75,97,,,,4062.0
pr226,226,25651,TSP,True,0.5,113,38718.0,38914.0,39231.0,39597.0
pr226,226,25651,TSP,True,0.75,169,49552.0,47516.0,49732.0,49198.0
ch150,150,11325,TSP,False,0.75,112,,,,4480.0
d198,198,19701,TSP,False,0.75,148,,,,7874.0
pr264,264,34980,TSP,True,0.25,66,10188.0,9432.0,9232.0,
pr264,264,34980,TSP,True,0.5,132,31251.0,27711.0,28247.0,
pr264,264,34980,TSP,True,0.75,198,43189.0,39130.0,40896.0,
dantzig42,42,903,TSP,False,0.75,31,,,,404.0
eil101,101,5151,TSP,False,0.75,75,,,,398.0
eil51,51,1326,TSP,False,0.75,38,,,,278.0
pr299,299,44850,TSP,True,0.25,74,11773.0,11392.0,11449.0,
pr299,299,44850,TSP,True,0.5,149,24843.0,23475.0,23636.0,
pr299,299,44850,TSP,True,0.75,224,38188.0,35942.0,36957.0,
eil76,76,2926,TSP,False,0.75,57,,,,345.0
fri26,26,351,TSP,False,0.75,19,,,,492.0
pr439,439,96580,TSP,True,0.25,109,22243.0,20736.0,20984.0,
