number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
29,11187.902777777777,2025-06-07 00:16:08.759779,2025-06-07 00:16:21.839221,0 days 00:00:13.079442,523,False,0.4248360978140032,35,8,False,"[0.07644488037209345, 0.04246319361867997, 0.8032757540443022, 0.07781617196492441]",COMPLETE
30,11183.902777777777,2025-06-07 00:16:21.839798,2025-06-07 00:17:27.684791,0 days 00:01:05.844993,866,True,0.132803970132463,126,65,True,"[0.4503013922242291, 0.11021301737988695, 0.228549486578095, 0.21093610381778907]",COMPLETE
31,11176.833333333334,2025-06-07 00:17:27.685059,2025-06-07 00:18:33.378693,0 days 00:01:05.693634,153,True,0.9395510813623074,493,175,True,"[0.3497709979246678, 0.029163078105649793, 0.5350852799594962, 0.08598064401018629]",COMPLETE
32,11081.5,2025-06-07 00:18:33.379190,2025-06-07 00:18:48.602743,0 days 00:00:15.223553,557,True,0.29256323173896376,589,566,False,"[0.18186050607310963, 0.5360377552452223, 0.17577392636414615, 0.10632781231752199]",COMPLETE
33,11168.402777777777,2025-06-07 00:18:48.603242,2025-06-07 00:30:59.629442,0 days 00:12:11.026200,673,False,0.586237345853954,788,222,True,"[0.01471869621513478, 0.39696926280478395, 0.3533287705565238, 0.23498327042355735]",COMPLETE
34,11174.458333333334,2025-06-07 00:30:59.629942,2025-06-07 00:37:16.849063,0 days 00:06:17.219121,345,True,0.9484201847708501,962,223,False,"[0.0013552173556687821, 0.4771084588257346, 0.20475857328001273, 0.3167777505385838]",COMPLETE
35,11098.013888888889,2025-06-07 00:37:16.849747,2025-06-07 00:39:28.598003,0 days 00:02:11.748256,300,True,0.01421038404338169,851,526,True,"[0.3868732612516169, 0.2293154916542282, 0.2444553380279691, 0.13935590906618583]",COMPLETE
36,11156.444444444445,2025-06-07 00:39:28.598384,2025-06-07 00:44:31.981813,0 days 00:05:03.383429,502,True,0.13762647114222773,643,237,True,"[0.07188441305540286, 0.1445682629484597, 0.646570512944883, 0.1369768110512544]",COMPLETE
37,11106.597222222223,2025-06-07 00:44:31.982191,2025-06-07 00:44:41.214699,0 days 00:00:09.232508,106,True,0.9599129887468741,864,840,True,"[0.47824279780739115, 0.18991940580889213, 0.06586324216224904, 0.2659745542214677]",COMPLETE
38,11176.347222222223,2025-06-07 00:44:41.215518,2025-06-07 00:46:30.333110,0 days 00:01:49.117592,413,True,0.05432032742325161,240,32,True,"[0.22513742599446038, 0.29543569337114034, 0.17880241949612702, 0.30062446113827235]",COMPLETE
39,11184.513888888889,2025-06-07 00:46:30.333667,2025-06-07 00:46:37.941518,0 days 00:00:07.607851,88,False,0.2458764754331391,98,66,True,"[0.10946303577607258, 0.4465311446036499, 0.2175027296431293, 0.22650308997714813]",COMPLETE
40,11187.805555555555,2025-06-07 00:46:37.941823,2025-06-07 00:47:05.789082,0 days 00:00:27.847259,277,False,0.3019954372119806,140,8,False,"[0.29029570925453224, 0.3006740406756775, 0.37763705588083757, 0.03139319418895269]",COMPLETE
41,11185.208333333334,2025-06-07 00:47:05.789652,2025-06-07 00:49:34.646659,0 days 00:02:28.857007,290,False,0.7879684212819057,386,70,True,"[0.7663708069559614, 0.05575620876863365, 0.07565532605991603, 0.10221765821548895]",COMPLETE
42,11165.486111111111,2025-06-07 00:49:34.647193,2025-06-07 00:50:29.221493,0 days 00:00:54.574300,267,True,0.2732762586196181,380,223,True,"[0.3246757171249298, 0.3154901162043157, 0.3220494205571397, 0.037784746113614744]",COMPLETE
43,11186.013888888889,2025-06-07 00:50:29.222059,2025-06-07 00:51:26.643448,0 days 00:00:57.421389,802,False,0.3071964793461057,86,45,True,"[0.11059623110603521, 0.057456092101799985, 0.035713525001528065, 0.7962341517906368]",COMPLETE
44,11182.041666666666,2025-06-07 00:51:26.643801,2025-06-07 00:54:08.485731,0 days 00:02:41.841930,436,True,0.6810297255826302,515,276,False,"[0.11812323235298472, 0.15463102353528363, 0.3842653764130307, 0.34298036769870077]",COMPLETE
45,11131.972222222223,2025-06-07 00:54:08.486152,2025-06-07 00:55:51.259307,0 days 00:01:42.773155,195,True,0.45699759880247426,905,492,True,"[0.22711436187093847, 0.2592980923649342, 0.4096243778997917, 0.10396316786433574]",COMPLETE
46,11034.708333333334,2025-06-07 00:55:51.259562,2025-06-07 01:00:33.789539,0 days 00:04:42.529977,905,True,0.32806496075400465,693,485,True,"[0.420240105288073, 0.04508837739536972, 0.35442818673573057, 0.1802433305808268]",COMPLETE
47,11171.75,2025-06-07 01:00:33.790074,2025-06-07 01:11:09.241034,0 days 00:10:35.450960,799,True,0.5908021969930376,960,440,True,"[0.5374747221928675, 0.19002507292843474, 0.23975015549511558, 0.03275004938358224]",COMPLETE
48,11061.736111111111,2025-06-07 01:11:09.241442,2025-06-07 01:14:12.748224,0 days 00:03:03.506782,823,True,0.16009563452205802,910,742,False,"[0.4145950184954704, 0.16018633556733994, 0.2258596581148909, 0.19935898782229874]",COMPLETE
49,11185.097222222223,2025-06-07 01:14:12.748851,2025-06-07 01:20:40.515150,0 days 00:06:27.766299,266,False,0.9580647564197466,851,29,False,"[0.18925485498888842, 0.21443458533703932, 0.1403758000555315, 0.4559347596185408]",COMPLETE
50,11178.111111111111,2025-06-07 01:20:40.515428,2025-06-07 01:28:15.604563,0 days 00:07:35.089135,407,True,0.9444109304121213,930,93,True,"[0.32843333798824903, 0.11366450383343195, 0.38188588589005085, 0.17601627228826816]",COMPLETE
51,11187.930555555555,2025-06-07 01:28:15.605061,2025-06-07 01:28:42.343450,0 days 00:00:26.738389,618,False,0.42893813105324136,42,1,False,"[0.31402180243292244, 0.31308828253841064, 0.20518024798143578, 0.1677096670472311]",COMPLETE
52,11170.166666666666,2025-06-07 01:28:42.343833,2025-06-07 01:28:49.504564,0 days 00:00:07.160731,139,False,0.6182432989937224,21,3,True,"[0.23697815519260423, 0.44341310638748455, 0.3150803974118721, 0.004528341008039095]",COMPLETE
53,11078.625,2025-06-07 01:28:49.505129,2025-06-07 01:29:00.770106,0 days 00:00:11.264977,643,True,0.06617359873747665,495,489,False,"[0.0004927165070920096, 0.45828101136498844, 0.16127564734081787, 0.3799506247871016]",COMPLETE
54,11150.833333333334,2025-06-07 01:29:00.770464,2025-06-07 01:30:50.806550,0 days 00:01:50.036086,253,True,0.4242408104589776,669,346,True,"[0.05396021613219965, 0.7440700801326436, 0.08936609165537134, 0.11260361207978539]",COMPLETE
55,11066.125,2025-06-07 01:30:50.806934,2025-06-07 01:31:12.446408,0 days 00:00:21.639474,367,False,0.046915296265522335,831,768,False,"[0.17220768401903397, 0.7651858122859718, 0.0323021039555123, 0.030304399739481746]",COMPLETE
56,11143.847222222223,2025-06-07 01:31:12.446979,2025-06-07 01:47:43.275656,0 days 00:16:30.828677,970,True,0.9910272209276452,906,269,True,"[0.5288877066741169, 0.010735107055006276, 0.22190075382979974, 0.23847643244107702]",COMPLETE
57,11185.583333333334,2025-06-07 01:47:43.276063,2025-06-07 01:47:59.780074,0 days 00:00:16.504011,693,False,0.880956771909172,67,49,False,"[0.6129665589070005, 0.14342454739614893, 0.0849285982734962, 0.1586802954233545]",COMPLETE
58,11172.083333333334,2025-06-07 01:47:59.780703,2025-06-07 01:48:29.196058,0 days 00:00:29.415355,245,True,0.30485947056256485,180,81,False,"[0.23437479792722374, 0.2532835836116577, 0.33584003929057943, 0.17650157917053902]",COMPLETE
59,11048.166666666666,2025-06-07 01:48:29.196317,2025-06-07 01:49:19.436950,0 days 00:00:50.240633,638,False,0.7502633321625792,869,817,True,"[0.2473255298533926, 0.49395871004958636, 0.11233060003358218, 0.14638516006343896]",COMPLETE
60,11186.180555555555,2025-06-07 01:49:19.437216,2025-06-07 01:50:12.539141,0 days 00:00:53.101925,80,False,0.41765140204641976,300,46,False,"[0.272440352690174, 0.007440661191470624, 0.06051750081920733, 0.6596014852991479]",COMPLETE
61,11172.222222222223,2025-06-07 01:50:12.539662,2025-06-07 02:00:13.080859,0 days 00:10:00.541197,969,True,0.5920459579243131,551,152,True,"[0.2842763125397185, 0.26960563594559467, 0.2867307450551143, 0.15938730645957244]",COMPLETE
62,11186.208333333334,2025-06-07 02:00:13.081493,2025-06-07 02:03:05.788488,0 days 00:02:52.706995,461,False,0.5058546510576577,408,102,False,"[0.34082185977299806, 0.22945514237933023, 0.2634271916614918, 0.1662958061861797]",COMPLETE
63,11109.930555555555,2025-06-07 02:03:05.789128,2025-06-07 02:03:47.414149,0 days 00:00:41.625021,340,False,0.049592915383577484,925,797,False,"[0.04910921078893658, 0.2929254284435823, 0.6345012690375903, 0.023464091729890987]",COMPLETE
64,11175.680555555555,2025-06-07 02:03:47.414519,2025-06-07 02:08:20.119895,0 days 00:04:32.705376,743,False,0.710107345916901,684,426,False,"[0.42073291843295285, 0.23337333063675939, 0.11861073851108714, 0.2272830124192008]",COMPLETE
65,11187.305555555555,2025-06-07 02:08:20.120432,2025-06-07 02:10:52.511184,0 days 00:02:32.390752,548,False,0.709916155316265,290,9,False,"[0.029112107780899333, 0.6258665185969662, 0.25677055308417757, 0.08825082053795695]",COMPLETE
66,11175.25,2025-06-07 02:10:52.511557,2025-06-07 02:11:38.198816,0 days 00:00:45.687259,98,True,0.3429257623729071,412,10,True,"[0.7485255786275625, 0.124607809884062, 0.012663692012428967, 0.1142029194759465]",COMPLETE
67,11163.875,2025-06-07 02:11:38.199364,2025-06-07 02:16:37.294308,0 days 00:04:59.094944,581,False,0.9479632986790664,699,470,True,"[0.37261867199997345, 0.08321318531130033, 0.12460840660289302, 0.4195597360858333]",COMPLETE
68,11187.819444444445,2025-06-07 02:16:37.294890,2025-06-07 02:16:49.670388,0 days 00:00:12.375498,964,True,0.8130512924024597,26,18,True,"[0.1909930203608921, 0.4866008676718526, 0.0995754294590653, 0.2228306825081899]",COMPLETE
69,11166.736111111111,2025-06-07 02:16:49.670760,2025-06-07 02:18:22.366964,0 days 00:01:32.696204,448,False,0.09170396056834464,525,364,False,"[0.2395706509083237, 0.08491322606661195, 0.43898436409923075, 0.23653175892583364]",COMPLETE
