instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,gvns,hh_rand,hh_greedy,ga_w_nn,state_of_art,our_nearest neighbor,our_genetic_algorithm,our_genetic_algorithm_w_nn,gap
brazil58,58,1711,TSP,TRUE,0.75,43,11614,11614,11614,,11614,14917,53638,13906,-19.73%
gr21,21,231,TSP,FALSE,0.25,5,,,,178,178,140,140,140,21.35%
gr229,229,26335,TSP,FALSE,0.25,57,,,,18471,18471,29071,225193,18449,0.12%
gr24,24,300,TSP,FALSE,0.25,6,,,,231,231,147,138,138,40.26%
brg180,180,16290,TSP,TRUE,0.25,45,650,540,520,,520,480,96750,480,7.69%
brg180,180,16290,TSP,TRUE,0.5,90,1310,1080,1110,,1080,980,281630,980,9.26%
brg180,180,16290,TSP,TRUE,0.75,135,2030,1600,1620,,1600,4930,479040,1570,1.88%
gr431,431,93096,TSP,FALSE,0.25,107,,,,,,15180,401475,12590,
burma14,14,105,TSP,TRUE,0.25,3,359,359,359,280,280,20,38,20,92.86%
gr48,48,1176,TSP,FALSE,0.25,12,,,,558,558,921,1085,526,5.73%
burma14,14,105,TSP,TRUE,0.5,7,1272,1272,1272,1236,1236,1003,1101,962,22.17%
gr666,666,222111,TSP,FALSE,0.25,166,,,,,,77716,1010868,23306,
burma14,14,105,TSP,TRUE,0.75,10,1642,1642,1642,1575,1575,2846,1557,1539,2.29%
gr96,96,4656,TSP,FALSE,0.25,24,,,,7704,7704,11009,47123,8372,-8.67%
ch130,130,8515,TSP,TRUE,0.25,32,1149,1130,1130,1130,1130,1960,6230,1146,-1.42%
ch130,130,8515,TSP,TRUE,0.5,65,2483,2408,2463,2408,2408,3041,17204,2719,-12.92%
hk48,48,1176,TSP,FALSE,0.25,12,,,,2094,2094,1790,2785,1584,24.36%
ch130,130,8515,TSP,TRUE,0.75,97,4156,3907,3956,4158,3907,4767,26788,4446,-13.80%
kroA100,100,5050,TSP,FALSE,0.25,25,,,,4369,4369,4802,21724,3956,9.45%
kroA150,150,11325,TSP,FALSE,0.25,37,,,,5286,5286,5846,35855,4946,6.43%
ch150,150,11325,TSP,TRUE,0.25,37,1318,1276,1276,1294,1276,1584,8117,1375,-7.76%
ch150,150,11325,TSP,TRUE,0.5,75,2927,2761,2821,2761,2761,3636,19167,3180,-15.18%
kroA200,200,20100,TSP,FALSE,0.25,50,,,,6138,6138,7313,51966,6325,-3.05%
kroB100,100,5050,TSP,FALSE,0.25,25,,,,4014,4014,4217,20200,4078,-1.59%
ch150,150,11325,TSP,TRUE,0.75,112,4814,4499,4503,4720,4499,5112,33246,4791,-6.49%
kroB150,150,11325,TSP,FALSE,0.25,37,,,,5119,5119,6363,38558,4863,5.00%
d198,198,19701,TSP,TRUE,0.25,49,5080,5027,5037,5002,5002,2473,19687,1652,66.97%
kroB200,200,20100,TSP,FALSE,0.25,50,,,,5890,5890,6806,53556,6200,-5.26%
d198,198,19701,TSP,TRUE,0.5,99,7270,7073,7058,7086,7058,4965,58920,4170,40.92%
kroC100,100,5050,TSP,FALSE,0.25,25,,,,4293,4293,4939,20294,3974,7.43%
d198,198,19701,TSP,TRUE,0.75,148,9622,9428,9386,9363,9363,7583,101652,7430,20.65%
kroD100,100,5050,TSP,FALSE,0.25,25,,,,3991,3991,4054,20639,3744,6.19%
kroE100,100,5050,TSP,FALSE,0.25,25,,,,3663,3663,4094,21236,3705,-1.15%
lin105,105,5565,TSP,FALSE,0.25,26,,,,2108,2108,2148,13703,2140,-1.52%
d493,493,121771,TSP,TRUE,0.25,123,10032,9399,9394,,9394,10419,78454,3541,62.31%
d493,493,121771,TSP,TRUE,0.5,246,15997,14223,14356,,14223,20712,187665,9860,30.68%
d493,493,121771,TSP,TRUE,0.75,369,26223,23483,23380,,23380,24572,288312,19327,17.34%
lin318,318,50721,TSP,FALSE,0.25,79,,,,8705,8705,9152,107745,8652,0.61%
p654,654,214185,TSP,FALSE,0.25,163,,,,,,11476,388947,5792,
pa561,561,157641,TSP,FALSE,0.25,140,,,,,,608,7452,520,
d657,657,216153,TSP,TRUE,0.25,164,14029,12299,12562,,12299,11535,176789,10316,16.12%
d657,657,216153,TSP,TRUE,0.5,328,32740,24462,24424,,24424,23518,381345,21630,11.44%
d657,657,216153,TSP,TRUE,0.75,492,52098,41410,41976,,41410,40001,582838,35096,15.25%
pcb442,442,97903,TSP,FALSE,0.25,110,,,,,,11144,150899,10822,
dantzig42,42,903,TSP,TRUE,0.25,10,145,145,145,145,145,151,136,103,28.97%
pr107,107,5778,TSP,FALSE,0.25,26,,,,6981,6981,7489,68495,6998,-0.24%
dantzig42,42,903,TSP,TRUE,0.5,21,260,260,260,260,260,311,667,241,7.31%
pr124,124,7750,TSP,FALSE,0.25,31,,,,9596,9596,14124,91949,5179,46.03%
dantzig42,42,903,TSP,TRUE,0.75,31,427,427,427,427,427,571,1197,437,-2.34%
pr136,136,9316,TSP,FALSE,0.25,34,,,,20928,20928,25078,109990,22312,-6.61%
eil101,101,5151,TSP,TRUE,0.25,25,107,107,107,107,107,115,422,99,7.48%
eil101,101,5151,TSP,TRUE,0.5,50,234,228,227,227,227,300,1112,260,-14.54%
pr144,144,10440,TSP,FALSE,0.25,36,,,,10743,10743,10708,111577,10365,3.52%
eil101,101,5151,TSP,TRUE,0.75,75,403,396,389,406,389,465,1987,437,-12.34%
pr152,152,11628,TSP,FALSE,0.25,38,,,,15403,15403,12609,143441,12334,19.92%
pr226,226,25651,TSP,FALSE,0.25,56,,,,18594,18594,25165,265290,12963,30.28%
eil51,51,1326,TSP,TRUE,0.25,12,82,82,82,82,82,100,132,79,3.66%
eil51,51,1326,TSP,TRUE,0.5,25,175,175,175,175,175,188,445,181,-3.43%
pr264,264,34980,TSP,FALSE,0.25,66,,,,,,8100,189924,7700,
pr299,299,44850,TSP,FALSE,0.25,74,,,,,,10916,128322,9745,
eil51,51,1326,TSP,TRUE,0.75,38,290,290,289,287,287,331,808,288,-0.35%
pr439,439,96580,TSP,FALSE,0.25,109,,,,,,45802,353280,16785,
eil76,76,2926,TSP,TRUE,0.25,19,102,102,102,102,102,117,265,103,-0.98%
eil76,76,2926,TSP,TRUE,0.5,38,218,219,216,219,216,249,822,218,-0.93%
pr76,76,2926,TSP,FALSE,0.25,19,,,,17728,17728,19314,56947,16219,8.51%
eil76,76,2926,TSP,TRUE,0.75,57,348,336,339,336,336,442,1366,363,-8.04%
rat195,195,19110,TSP,FALSE,0.25,48,,,,538,538,543,3516,527,2.04%
rat575,575,165600,TSP,FALSE,0.25,143,,,,,,1603,23084,1578,
fl417,417,87153,TSP,TRUE,0.25,104,,,,,,2345,92242,2345,
rat783,783,306936,TSP,FALSE,0.25,195,,,,,,2191,37083,2101,
fl417,417,87153,TSP,TRUE,0.5,208,,,,,,6322,202432,6210,
rat99,99,4950,TSP,FALSE,0.25,24,,,,260,260,253,918,246,5.38%
fl417,417,87153,TSP,TRUE,0.75,312,,,,,,12475,320287,11984,
rd100,100,5050,TSP,FALSE,0.25,25,,,,1261,1261,1747,7561,1257,0.32%
fri26,26,351,TSP,TRUE,0.25,6,243,243,243,243,243,135,90,88,63.79%
rd400,400,80200,TSP,FALSE,0.25,100,,,,,,3680,41061,3225,
fri26,26,351,TSP,TRUE,0.5,13,414,414,414,414,414,308,377,288,30.43%
si175,175,15400,TSP (M.~Hofmeister),FALSE,0.25,43,,,,,,5458,9582,4542,
fri26,26,351,TSP,TRUE,0.75,19,601,601,601,601,601,569,896,515,14.31%
ft53,53,2809,ATSP,FALSE,0.25,13,,,,,,2812,2022,1110,
ft53,53,2809,ATSP,TRUE,0.25,13,,,,,,2874,1836,1985,
ft53,53,2809,ATSP,FALSE,0.5,26,,,,,,4552,7285,2859,
ft53,53,2809,ATSP,TRUE,0.5,26,,,,,,4587,7145,3768,
ft53,53,2809,ATSP,FALSE,0.75,39,,,,,,6351,12261,5138,
ft53,53,2809,ATSP,TRUE,0.75,39,,,,,,6560,13168,5244,
ft70,70,4900,ATSP,FALSE,0.25,17,,,,,,10134,10476,9274,
ft70,70,4900,ATSP,TRUE,0.25,17,,,,,,10676,10986,9997,
ft70,70,4900,ATSP,FALSE,0.5,35,,,,,,19936,27689,19203,
ft70,70,4900,ATSP,TRUE,0.5,35,,,,,,20211,27100,19951,
ft70,70,4900,ATSP,FALSE,0.75,52,,,,,,29964,44777,29283,
ft70,70,4900,ATSP,TRUE,0.75,52,,,,,,30313,44481,29938,
ftv170,171,29241,ATSP,FALSE,0.25,42,,,,,,652,4384,527,
ftv170,171,29241,ATSP,TRUE,0.25,42,,,,,,791,4333,574,
ftv170,171,29241,ATSP,FALSE,0.5,85,,,,,,1346,10240,1188,
ftv170,171,29241,ATSP,TRUE,0.5,85,,,,,,1519,10292,1282,
ftv170,171,29241,ATSP,FALSE,0.75,128,,,,,,2089,16374,2015,
ftv170,171,29241,ATSP,TRUE,0.75,128,,,,,,2280,16597,2049,
ftv33,34,1156,ATSP,FALSE,0.25,8,,,,,,126,131,126,
ftv33,34,1156,ATSP,TRUE,0.25,8,,,,,,137,141,133,
ftv33,34,1156,ATSP,FALSE,0.5,17,,,,,,613,1030,462,
ftv33,34,1156,ATSP,TRUE,0.5,17,,,,,,669,866,546,
ftv33,34,1156,ATSP,FALSE,0.75,25,,,,,,996,1950,796,
ftv33,34,1156,ATSP,TRUE,0.75,25,,,,,,925,1881,839,
ftv35,36,1296,ATSP,FALSE,0.25,9,,,,,,198,175,184,
ftv35,36,1296,ATSP,TRUE,0.25,9,,,,,,334,177,175,
ftv35,36,1296,ATSP,FALSE,0.5,18,,,,,,567,1234,567,
ftv35,36,1296,ATSP,TRUE,0.5,18,,,,,,663,1233,606,
ftv35,36,1296,ATSP,FALSE,0.75,27,,,,,,942,2343,930,
ftv35,36,1296,ATSP,TRUE,0.75,27,,,,,,1110,2176,982,
ftv38,39,1521,ATSP,FALSE,0.25,9,,,,,,198,173,140,
ftv38,39,1521,ATSP,TRUE,0.25,9,,,,,,334,199,169,
ftv38,39,1521,ATSP,FALSE,0.5,19,,,,,,729,1152,531,
ftv38,39,1521,ATSP,TRUE,0.5,19,,,,,,925,1242,528,
ftv38,39,1521,ATSP,FALSE,0.75,29,,,,,,1193,2313,956,
