number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
25,11044.375,2025-05-24 23:35:04.489972,2025-05-24 23:50:13.962697,0 days 00:15:09.472725,318,False,0.18024447020451553,700,265,True,"[0.07003261504075958, 0.0011727764630571913, 0.4280966733378712, 0.5006979351583118]",COMPLETE
26,10996.111111111111,2025-05-24 23:50:13.963128,2025-05-24 23:56:22.157739,0 days 00:06:08.194611,541,True,0.217463190429677,898,889,False,"[0.1132031705011761, 0.4808019195188638, 0.02195480115242272, 0.3840401088275375]",COMPLETE
27,11071.208333333334,2025-05-24 23:56:22.158206,2025-05-25 00:02:26.141947,0 days 00:06:03.983741,327,False,0.830386358325718,390,229,False,"[0.5387291194750146, 0.07390667089614057, 0.21684141600343368, 0.17052279362541112]",COMPLETE
28,11001.208333333334,2025-05-25 00:02:26.143427,2025-05-25 00:11:56.945436,0 days 00:09:30.802009,193,True,0.21607666175933132,954,656,True,"[0.353306164656575, 0.1040519872397367, 0.5347681796427336, 0.007873668460954596]",COMPLETE
29,11193.694444444445,2025-05-25 00:11:56.945874,2025-05-25 00:12:51.097516,0 days 00:00:54.151642,523,False,0.4248360978140032,35,8,False,"[0.07644488037209345, 0.04246319361867997, 0.8032757540443022, 0.07781617196492441]",COMPLETE
30,11121.069444444445,2025-05-25 00:12:51.098421,2025-05-25 00:17:07.268205,0 days 00:04:16.169784,866,True,0.132803970132463,126,65,True,"[0.4503013922242291, 0.11021301737988695, 0.228549486578095, 0.21093610381778907]",COMPLETE
31,11066.069444444445,2025-05-25 00:17:07.268636,2025-05-25 00:23:10.481937,0 days 00:06:03.213301,153,True,0.9395510813623074,493,175,True,"[0.3497709979246678, 0.029163078105649793, 0.5350852799594962, 0.08598064401018629]",COMPLETE
32,11006.527777777777,2025-05-25 00:23:10.482399,2025-05-25 00:27:25.618859,0 days 00:04:15.136460,557,True,0.29256323173896376,589,566,False,"[0.18186050607310963, 0.5360377552452223, 0.17577392636414615, 0.10632781231752199]",COMPLETE
33,11044.986111111111,2025-05-25 00:27:25.620336,2025-05-25 01:07:41.668144,0 days 00:40:16.047808,673,False,0.586237345853954,788,222,True,"[0.01471869621513478, 0.39696926280478395, 0.3533287705565238, 0.23498327042355735]",COMPLETE
34,11044.833333333334,2025-05-25 01:07:41.668609,2025-05-25 01:39:37.335776,0 days 00:31:55.667167,345,True,0.9484201847708501,962,223,False,"[0.0013552173556687821, 0.4771084588257346, 0.20475857328001273, 0.3167777505385838]",COMPLETE
35,11014.680555555555,2025-05-25 01:39:37.336238,2025-05-25 01:51:04.795931,0 days 00:11:27.459693,300,True,0.01421038404338169,851,526,True,"[0.3868732612516169, 0.2293154916542282, 0.2444553380279691, 0.13935590906618583]",COMPLETE
36,11052.569444444445,2025-05-25 01:51:04.797354,2025-05-25 02:08:20.228145,0 days 00:17:15.430791,502,True,0.13762647114222773,643,237,True,"[0.07188441305540286, 0.1445682629484597, 0.646570512944883, 0.1369768110512544]",COMPLETE
37,11009.625,2025-05-25 02:08:20.228618,2025-05-25 02:13:46.118675,0 days 00:05:25.890057,106,True,0.9599129887468741,864,840,True,"[0.47824279780739115, 0.18991940580889213, 0.06586324216224904, 0.2659745542214677]",COMPLETE
