x_iters,func_vals,population_size,generations,mutation_rate,selection_size,has_variable_mutate_rate,mutation_op_prob_1,mutation_op_prob_2,mutation_op_prob_3,mutation_op_prob_4,total,normalized_mutation_op_prob_1,normalized_mutation_op_prob_2,normalized_mutation_op_prob_3,normalized_mutation_op_prob_4,best_func_val
"[np.int64(169), np.int64(219), 0.08721510558604813, np.int64(35), False, 0.38438170729269994, 0.29753460654447234, 0.056712977317443194]",91831.0,169,219,0.08721510558604813,35,False,0.38438170729269994,0.29753460654447234,0.056712977317443194,0.2613707088453846,1.0,0.38438170729269994,0.29753460654447234,0.056712977317443194,0.2613707088453846,91831.0
"[np.int64(105), np.int64(146), 0.08309518558979441, np.int64(22), True, 0.8360787635373778, 0.33739616041726844, 0.6481718720511973]",93147.0,105,146,0.08309518558979441,22,True,0.8360787635373778,0.33739616041726844,0.6481718720511973,0.0,1.8216467960058436,0.4589686460462974,0.1852149171601464,0.3558164367935561,0.0,91831.0
"[np.int64(124), np.int64(241), 0.02263157023713807, np.int64(35), True, 0.8009107519796445, 0.5204774795512049, 0.6788795301189604]",93223.0,124,241,0.02263157023713807,35,True,0.8009107519796445,0.5204774795512049,0.6788795301189604,0.0,2.00026776164981,0.40040176987057857,0.26020390346236344,0.33939432666705793,0.0,91831.0
"[np.int64(194), np.int64(166), 0.058363590650410975, np.int64(32), True, 0.47360041934665753, 0.18633234332676, 0.7369181771289582]",91847.0,194,166,0.058363590650410975,32,True,0.47360041934665753,0.18633234332676,0.7369181771289582,0.0,1.3968509398023756,0.3390486456727171,0.13339457920479475,0.5275567751224882,0.0,91831.0
"[np.int64(93), np.int64(77), 0.039172690701389276, np.int64(10), True, 0.38648898112586205, 0.9025984755294049, 0.4499499899112277]",93361.0,93,77,0.039172690701389276,10,True,0.38648898112586205,0.9025984755294049,0.4499499899112277,0.0,1.7390374465664946,0.22224304708845388,0.519021874607398,0.25873507830414805,0.0,91831.0
"[np.int64(173), np.int64(230), 0.018935231532307653, np.int64(39), False, 0.17090958513604518, 0.35815216696952507, 0.7506861412184564]",91592.0,173,230,0.018935231532307653,39,False,0.17090958513604518,0.35815216696952507,0.7506861412184564,0.0,1.2797478933240267,0.13354941705910792,0.2798615015018762,0.5865890814390158,0.0,91592.0
"[np.int64(172), np.int64(115), 0.013458288382546126, np.int64(27), False, 0.652790317005491, 0.635058873603564, 0.9952995676778879]",91847.0,172,115,0.013458288382546126,27,False,0.652790317005491,0.635058873603564,0.9952995676778879,0.0,2.2831487582869427,0.2859166817913707,0.27815045835211,0.4359328598565193,0.0,91592.0
"[np.int64(166), np.int64(133), 0.052722775205957174, np.int64(27), True, 0.6747523222590208, 0.31720174206929613, 0.7783454820259093]",91438.0,166,133,0.052722775205957174,27,True,0.6747523222590208,0.31720174206929613,0.7783454820259093,0.0,1.7702995463542262,0.3811514970156395,0.1791797002504716,0.4396688027338889,0.0,91438.0
"[np.int64(240), np.int64(183), 0.011221447205089885, np.int64(27), False, 0.971945002499666, 0.8781934713471772, 0.5096243767199002]",91836.0,240,183,0.011221447205089885,27,False,0.971945002499666,0.8781934713471772,0.5096243767199002,0.0,2.359762850566743,0.41188249160979645,0.3721532742734135,0.21596423411679017,0.0,91438.0
"[np.int64(61), np.int64(140), 0.011798889886788287, np.int64(20), False, 0.35944446396932156, 0.48089353083616293, 0.6886611828057705]",93503.0,61,140,0.011798889886788287,20,False,0.35944446396932156,0.48089353083616293,0.6886611828057705,0.0,1.528999177611255,0.23508479875762864,0.31451523184430985,0.45039996939806154,0.0,91438.0
"[np.int64(216), np.int64(68), 0.09704273845978208, np.int64(9), np.False_, 0.47597449320571084, 0.9151698852538018, 0.33534195510409465]",91843.0,216,68,0.09704273845978208,9,False,0.47597449320571084,0.9151698852538018,0.33534195510409465,0.0,1.7264863335636074,0.27568969643869756,0.5300765302699021,0.19423377329140032,0.0,91438.0
"[np.int64(250), np.int64(50), 0.1, np.int64(5), np.True_, 0.0, 0.0, 1.0]",91843.0,250,50,0.1,5,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,91438.0
"[np.int64(185), np.int64(50), 0.08782400654232571, np.int64(5), np.True_, 0.0, 0.7307615193249637, 0.04480786573315424]",91847.0,185,50,0.08782400654232571,5,True,0.0,0.7307615193249637,0.04480786573315424,0.2244306149418821,1.0,0.0,0.7307615193249637,0.04480786573315424,0.2244306149418821,91438.0
"[np.int64(176), np.int64(250), 0.1, np.int64(5), np.True_, 1.0, 0.014799219902452775, 1.0]",91854.0,176,250,0.1,5,True,1.0,0.014799219902452775,1.0,0.0,2.0147992199024527,0.49632737104614094,0.0073452579077181125,0.49632737104614094,0.0,91438.0
"[np.int64(228), np.int64(250), 0.01, np.int64(40), np.True_, 0.0, 0.0, 0.15854873941006328]",91814.0,228,250,0.01,40,True,0.0,0.0,0.15854873941006328,0.8414512605899367,1.0,0.0,0.0,0.15854873941006328,0.8414512605899367,91438.0
"[np.int64(164), np.int64(50), 0.01, np.int64(40), np.True_, 0.0, 0.4085275626718235, 0.0015500897323222618]",91786.0,164,50,0.01,40,True,0.0,0.4085275626718235,0.0015500897323222618,0.5899223475958543,1.0,0.0,0.4085275626718235,0.0015500897323222618,0.5899223475958543,91438.0
"[np.int64(250), np.int64(250), 0.01, np.int64(40), np.False_, 1.0, 1.0, 0.0]",91836.0,250,250,0.01,40,False,1.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,91438.0
