x_iters,func_vals,population_size,generations,mutation_rate,selection_size,has_variable_mutate_rate,mutation_op_prob_1,mutation_op_prob_2,mutation_op_prob_3,mutation_op_prob_4,total,normalized_mutation_op_prob_1,normalized_mutation_op_prob_2,normalized_mutation_op_prob_3,normalized_mutation_op_prob_4,best_func_val
"[np.int64(250), np.int64(218), 0.08283552912578791, np.int64(6), np.False_, 0.24139100409630448, 0.9874146661572482, 0.18313834765766315]",451452.0,250,218,0.08283552912578791,6,False,0.24139100409630448,0.9874146661572482,0.18313834765766315,0.0,1.4119440179112157,0.1709635800245186,0.6993298980918503,0.12970652188363113,0.0,448750.0
"[np.int64(250), np.int64(250), 0.01, np.int64(40), np.True_, 1.0, 1.0, 1.0]",451420.0,250,250,0.01,40,True,1.0,1.0,1.0,0.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,448750.0
"[np.int64(199), np.int64(169), 0.09584756836157467, np.int64(36), np.True_, 0.650928758530245, 1.0, 0.45619637320625084]",451060.0,199,169,0.09584756836157467,36,True,0.650928758530245,1.0,0.45619637320625084,0.0,2.107125131736496,0.3089179416667155,0.4745802633827889,0.2165017949504956,0.0,448750.0
"[np.int64(221), np.int64(51), 0.01178121307882394, np.int64(6), np.True_, 0.014365702731600621, 0.9331476939627322, 0.03166790232643689]",450580.0,221,51,0.01178121307882394,6,True,0.014365702731600621,0.9331476939627322,0.03166790232643689,0.02081870097923022,1.0,0.014365702731600621,0.9331476939627322,0.03166790232643689,0.02081870097923022,448750.0
"[np.int64(221), np.int64(50), 0.01, np.int64(40), np.True_, 0.0, 0.0, 0.0]",451219.0,221,50,0.01,40,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,448750.0
"[np.int64(250), np.int64(250), 0.1, np.int64(5), np.True_, 0.0, 0.0, 1.0]",451542.0,250,250,0.1,5,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,448750.0
"[np.int64(217), np.int64(250), 0.1, np.int64(5), np.False_, 1.0, 1.0, 0.0]",451300.0,217,250,0.1,5,False,1.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,448750.0
"[np.int64(250), np.int64(50), 0.01, np.int64(40), np.False_, 1.0, 0.0, 0.0]",451019.0,250,50,0.01,40,False,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,448750.0
"[np.int64(217), np.int64(50), 0.07289864872466785, np.int64(40), np.False_, 0.0, 0.0, 1.0]",450858.0,217,50,0.07289864872466785,40,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,448750.0
"[np.int64(250), np.int64(50), 0.1, np.int64(40), np.True_, 1.0, 1.0, 0.0]",451288.0,250,50,0.1,40,True,1.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,448750.0
"[np.int64(214), np.int64(250), 0.01, np.int64(20), np.True_, 0.0, 0.0, 1.0]",451023.0,214,250,0.01,20,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,448750.0
"[np.int64(215), np.int64(61), 0.01, np.int64(40), np.True_, 1.0, 1.0, 0.0]",451298.0,215,61,0.01,40,True,1.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,448750.0
