instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,worst_nearest_neighbors,avg_nearest_neighbors,best_nearest_neighbors,worst_genetic_algorithm,avg_genetic_algorithm,best_genetic_algorithm,worst_ensemble,avg_ensemble,best_ensemble,worst_solution,avg_solution,best_solution
bier127,127,8128,TSP,true,0.5,63,33188,33188.0,33188,245165,231843.8,204493,27950,27950.0,27950,245165,125291.71428571429,27950
bier127,127,8128,TSP,true,0.75,95,67038,67038.0,67038,401568,383738.5,353541,59103,59095.2,59064,401568,214065.47619047618,59064
br17,17,289,ATSP,false,0.25,4,3,3.0,3,0,0.0,0,0,0.0,0,3,0.14285714285714285,0
br17,17,289,ATSP,false,0.5,8,6,6.0,6,13,8.8,8,6,6.0,6,13,7.333333333333333,6
br17,17,289,ATSP,false,0.75,12,38,38.0,38,25,19.4,16,17,16.6,16,38,18.952380952380953,16
br17,17,289,ATSP,true,0.25,4,3,3.0,3,0,0.0,0,0,0.0,0,3,0.14285714285714285,0
br17,17,289,ATSP,true,0.5,8,9,9.0,9,16,11.0,10,9,9.0,9,16,9.952380952380953,9
br17,17,289,ATSP,true,0.75,12,35,35.0,35,33,24.2,18,18,18.0,18,35,21.761904761904763,18
brazil58,58,1711,TSP,false,0.25,14,2212,2212.0,2212,10783,7221.9,4246,1914,1914.0,1914,10783,4455.761904761905,1914
brazil58,58,1711,TSP,false,0.5,29,7493,7493.0,7493,39623,31502.3,26723,5295,5295.0,5295,39623,17879.333333333332,5295
brazil58,58,1711,TSP,false,0.75,43,13597,13597.0,13597,63344,58434.7,53264,10125,10125.0,10125,63344,33294.95238095238,10125
brazil58,58,1711,TSP,true,0.25,14,2345,2345.0,2345,9767,7193.1,3952,2098,2098.0,2098,9767,4536.0,2098
brazil58,58,1711,TSP,true,0.5,29,8603,8603.0,8603,38355,32581.9,27601,6105,6105.0,6105,38355,18832.0,6105
brazil58,58,1711,TSP,true,0.75,43,14917,14917.0,14917,62795,57955.2,53638,13906,13906.0,13906,62795,34929.95238095238,13906
brg180,180,16290,TSP,false,0.25,45,470,470.0,470,150530,113919.0,82280,470,470.0,470,150530,54493.333333333336,470
brg180,180,16290,TSP,false,0.5,90,950,950.0,950,336460,314063.0,286690,950,950.0,950,336460,150051.42857142858,950
brg180,180,16290,TSP,false,0.75,135,4920,4920.0,4920,552850,524639.0,487200,4920,3191.0,1450,552850,251581.90476190476,1450
brg180,180,16290,TSP,true,0.25,45,480,480.0,480,143000,112938.0,96750,480,480.0,480,143000,54031.42857142857,480
brg180,180,16290,TSP,true,0.5,90,980,980.0,980,352750,310510.0,281630,980,980.0,980,352750,148375.2380952381,980
brg180,180,16290,TSP,true,0.75,135,4930,4930.0,4930,557220,519511.0,479040,4930,4594.0,1570,557220,249808.57142857142,1570
burma14,14,105,TSP,false,0.25,3,182,182.0,182,182,178.4,176,176,176.0,176,182,177.42857142857142,176
burma14,14,105,TSP,false,0.5,7,1053,1053.0,1053,1157,895.6,755,986,894.6,776,1157,902.6190476190476,755
burma14,14,105,TSP,false,0.75,10,2516,2516.0,2516,1852,1615.6,1358,1444,1428.8,1371,2516,1569.5238095238096,1358
burma14,14,105,TSP,true,0.25,3,20,20.0,20,86,52.4,38,20,20.0,20,86,35.42857142857143,20
burma14,14,105,TSP,true,0.5,7,1003,1003.0,1003,1160,1111.9,1101,962,962.0,962,1160,1035.3333333333333,962
burma14,14,105,TSP,true,0.75,10,2846,2846.0,2846,1961,1762.2,1557,1705,1638.5,1539,2846,1754.904761904762,1539
ch130,130,8515,TSP,false,0.25,32,1507,1507.0,1507,7994,7499.0,6878,1072,1072.0,1072,7994,4153.190476190476,1072
ch130,130,8515,TSP,false,0.5,65,2865,2865.0,2865,18762,17238.2,16163,2487,2487.0,2487,18762,9529.380952380952,2487
ch130,130,8515,TSP,false,0.75,97,4327,4327.0,4327,29574,28855.2,27340,4187,4187.0,4187,29574,15940.42857142857,4187
ch130,130,8515,TSP,true,0.25,32,1960,1960.0,1960,7982,7181.0,6230,1150,1149.6,1146,7982,4060.285714285714,1146
ch130,130,8515,TSP,true,0.5,65,3041,3041.0,3041,18903,18176.1,17204,2727,2726.2,2719,18903,10098.285714285714,2719
ch130,130,8515,TSP,true,0.75,97,4767,4767.0,4767,30383,28312.5,26788,4446,4446.0,4446,30383,15826.285714285714,4446
ch150,150,11325,TSP,false,0.25,37,1512,1512.0,1512,9676,9129.3,8128,1226,1226.0,1226,9676,5003.0952380952385,1226
ch150,150,11325,TSP,false,0.5,75,3159,3159.0,3159,22650,21293.7,19902,2752,2752.0,2752,22650,11600.761904761905,2752
ch150,150,11325,TSP,false,0.75,112,5046,5046.0,5046,35701,34179.1,32521,4606,4606.0,4606,35701,18709.380952380954,4606
ch150,150,11325,TSP,true,0.25,37,1584,1584.0,1584,10122,9011.6,8117,1405,1402.0,1375,10122,5034.285714285715,1375
ch150,150,11325,TSP,true,0.5,75,3636,3636.0,3636,22911,21174.0,19167,3180,3180.0,3180,22911,11770.285714285714,3180
ch150,150,11325,TSP,true,0.75,112,5112,5112.0,5112,35638,34256.8,33246,4791,4791.0,4791,35638,18837.619047619046,4791
d198,198,19701,TSP,false,0.25,49,2147,2147.0,2147,30637,25388.2,19442,1600,1600.0,1600,30637,12953.761904761905,1600
d198,198,19701,TSP,false,0.5,99,4415,4415.0,4415,72240,67437.7,61228,3595,3595.0,3595,72240,34035.333333333336,3595
d198,198,19701,TSP,false,0.75,148,6796,6796.0,6796,120268,115954.8,102475,6716,6716.0,6716,120268,58738.28571428572,6716
d198,198,19701,TSP,true,0.25,49,2473,2473.0,2473,33244,26305.6,19687,1652,1652.0,1652,33244,13430.904761904761,1652
d198,198,19701,TSP,true,0.5,99,4965,4965.0,4965,75676,66542.7,58920,4170,4170.0,4170,75676,33909.142857142855,4170
d198,198,19701,TSP,true,0.75,148,7583,7583.0,7583,117786,109550.3,101652,7431,7430.9,7430,117786,56066.42857142857,7430
d493,493,121771,TSP,false,0.25,123,9317,9317.0,9317,92170,86748.0,72663,3399,3399.0,3399,92170,43370.80952380953,3399
d493,493,121771,TSP,false,0.5,246,18493,18493.0,18493,201534,195743.1,190886,9319,9319.0,9319,201534,98529.23809523809,9319
d493,493,121771,TSP,false,0.75,369,22482,22482.0,22482,312799,303850.2,295832,17974,17974.0,17974,312799,154320.19047619047,17974
d493,493,121771,TSP,true,0.25,123,10419,10419.0,10419,91242,85939.9,78454,3567,3559.2,3541,91242,43114.76190476191,3541
d493,493,121771,TSP,true,0.5,246,20712,20712.0,20712,200591,193562.6,187665,9953,9934.4,9860,200591,97889.61904761905,9860
d493,493,121771,TSP,true,0.75,369,24572,24572.0,24572,308859,300600.8,288312,19327,19327.0,19327,308859,153516.66666666666,19327
d657,657,216153,TSP,false,0.25,164,9996,9996.0,9996,188850,185377.3,170421,9397,9397.0,9397,188850,93225.66666666667,9397
d657,657,216153,TSP,false,0.5,328,22076,22076.0,22076,400996,391163.2,383451,20290,20290.0,20290,400996,196981.33333333334,20290
d657,657,216153,TSP,false,0.75,492,37653,37653.0,37653,606979,601380.3,595716,34446,34446.0,34446,606979,304567.4285714286,34446
d657,657,216153,TSP,true,0.25,164,11535,11535.0,11535,195124,183556.3,176789,10316,10316.0,10316,195124,92869.42857142857,10316
d657,657,216153,TSP,true,0.5,328,23518,23518.0,23518,399922,389834.3,381345,21653,21650.7,21630,399922,197065.14285714287,21630
d657,657,216153,TSP,true,0.75,492,40001,40001.0,40001,607429,599438.6,582838,35101,35100.5,35096,607429,304066.28571428574,35096
dantzig42,42,903,TSP,false,0.25,10,103,103.0,103,232,172.8,138,92,92.0,92,232,131.0,92
dantzig42,42,903,TSP,false,0.5,21,256,256.0,256,852,785.8,712,232,232.0,232,852,496.85714285714283,232
dantzig42,42,903,TSP,false,0.75,31,518,518.0,518,1637,1439.5,1219,428,428.0,428,1637,913.952380952381,428
dantzig42,42,903,TSP,true,0.25,10,151,151.0,151,215,177.1,136,103,103.0,103,215,140.57142857142858,103
dantzig42,42,903,TSP,true,0.5,21,311,311.0,311,956,786.8,667,244,243.7,241,956,505.5238095238095,241
dantzig42,42,903,TSP,true,0.75,31,571,571.0,571,1507,1366.7,1197,437,437.0,437,1507,886.0952380952381,437
eil101,101,5151,TSP,false,0.25,25,113,113.0,113,563,503.3,414,92,92.0,92,563,288.85714285714283,92
eil101,101,5151,TSP,false,0.5,50,268,268.0,268,1320,1257.2,1191,255,255.0,255,1320,732.8571428571429,255
eil101,101,5151,TSP,false,0.75,75,427,427.0,427,2170,2039.1,1942,408,408.0,408,2170,1185.6190476190477,408
eil101,101,5151,TSP,true,0.25,25,115,115.0,115,546,483.0,422,99,99.0,99,546,282.6190476190476,99
eil101,101,5151,TSP,true,0.5,50,300,300.0,300,1324,1239.2,1112,260,260.0,260,1324,728.1904761904761,260
eil101,101,5151,TSP,true,0.75,75,465,465.0,465,2077,2042.7,1987,437,437.0,437,2077,1202.952380952381,437
eil51,51,1326,TSP,false,0.25,12,74,74.0,74,164,149.9,136,71,71.0,71,164,108.71428571428571,71
eil51,51,1326,TSP,false,0.5,25,175,175.0,175,589,519.6,426,164,164.0,164,589,333.85714285714283,164
