instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,worst_nearest_neighbors,avg_nearest_neighbors,best_nearest_neighbors,worst_genetic_algorithm,avg_genetic_algorithm,best_genetic_algorithm,worst_ensemble,avg_ensemble,best_ensemble,worst_solution,avg_solution,best_solution
berlin52.tsp,52,1378,TSP,false,0.75,39,4265,4265.0,4265,14206,13333.7,12486,3977,3977.0,3977,14206,8446.285714285714,3977
berlin52.tsp,52,1378,TSP,true,0.25,13,583,583.0,583,1237,864.9,675,532,532.0,532,1237,692.952380952381,532
berlin52.tsp,52,1378,TSP,true,0.5,26,1856,1856.0,1856,6903,5801.5,5014,1840,1836.2,1802,6903,3725.3809523809523,1802
berlin52.tsp,52,1378,TSP,true,0.75,39,4737,4737.0,4737,14177,13131.4,11930,4278,4278.0,4278,14177,8515.761904761905,4278
bier127.tsp,127,8128,TSP,false,0.25,31,11094,11094.0,11094,61485,46274.1,33911,10480,10480.0,10480,61485,27554.04761904762,10480
bier127.tsp,127,8128,TSP,false,0.5,63,31659,31659.0,31659,228853,180706.6,147741,26976,26976.0,26976,228853,100404.04761904762,26976
bier127.tsp,127,8128,TSP,false,0.75,95,65743,65743.0,65743,371207,339762.7,307415,54332,54332.0,54332,371207,190794.7619047619,54332
bier127.tsp,127,8128,TSP,true,0.25,31,13321,13321.0,13321,58206,48836.7,37015,12110,12110.0,12110,58206,29656.571428571428,12110
bier127.tsp,127,8128,TSP,true,0.5,63,33188,33188.0,33188,212545,177042.4,158834,27950,27950.0,27950,212545,99195.80952380953,27950
bier127.tsp,127,8128,TSP,true,0.75,95,67038,67038.0,67038,367780,339194.3,303190,59103,59103.0,59103,367780,192857.66666666666,59103
br17.atsp,17,289,ATSP,false,0.25,4,3,3.0,3,0,0.0,0,0,0.0,0,3,0.14285714285714285,0
br17.atsp,17,289,ATSP,false,0.5,8,6,6.0,6,8,6.6,6,6,6.0,6,8,6.285714285714286,6
br17.atsp,17,289,ATSP,false,0.75,12,38,38.0,38,22,18.4,16,17,16.7,16,38,18.523809523809526,16
br17.atsp,17,289,ATSP,true,0.25,4,3,3.0,3,0,0.0,0,0,0.0,0,3,0.14285714285714285,0
br17.atsp,17,289,ATSP,true,0.5,8,9,9.0,9,11,10.2,10,9,9.0,9,11,9.571428571428571,9
